topic_primary,ACB,Agribank,BIDV,HDBank,MBBank,MSB,OCB,Sacombank,TPBank,Techcombank,Vietcombank,VietinBank
Giao dịch & Chuyển tiền,661,1026,746,421,773,404,343,736,821,728,778,747
Đăng nhập & Xác thực,436,249,489,161,412,147,167,314,383,423,509,366
Giao diện & Trải nghiệm,147,118,224,96,142,205,206,173,176,140,182,113
Hiệu suất & Lỗi kỹ thuật,351,282,320,127,461,253,158,535,382,308,348,434
Chăm sóc khách hàng,69,58,64,77,44,48,25,97,87,51,65,56
Bảo mật & An toàn,21,12,22,17,23,22,8,8,31,22,15,16
Tính năng & Dịch vụ,42,36,58,56,43,49,27,97,57,56,48,64
Cập nhật & Phiên bản,66,60,122,39,75,36,20,126,59,35,59,43
Phí & Lãi suất,22,50,57,18,26,19,11,24,29,30,22,44
Thông báo & Quảng cáo,16,13,15,11,20,11,9,24,27,40,17,23
Khác,1155,1166,977,872,1048,715,471,984,977,1136,1040,1160
