topic_primary,ACB,Agribank,BIDV,HDBank,MBBank,MSB,OCB,Sacombank,TPBank,Techcombank,Vietcombank,VietinBank
Giao dịch & Chuyển tiền,19.7,17.5,21.6,16.4,19.0,25.5,21.6,24.7,22.7,17.6,22.8,19.0
Đăng nhập & Xác thực,18.8,22.1,20.9,10.6,12.1,11.6,5.4,20.1,17.5,9.2,18.1,18.3
Giao diện & Trải nghiệm,45.6,44.1,47.8,47.9,40.8,65.9,82.0,34.7,47.7,52.9,38.5,46.0
Hiệu suất & Lỗi kỹ thuật,14.2,24.1,18.8,18.1,18.9,9.1,7.0,20.9,21.5,14.0,18.4,13.6
Chăm sóc khách hàng,47.8,32.8,43.8,29.9,52.3,33.3,48.0,23.7,36.8,31.4,33.8,48.2
Bảo mật & An toàn,61.9,50.0,50.0,23.5,60.9,27.3,12.5,75.0,35.5,13.6,60.0,50.0
Tính năng & Dịch vụ,33.3,27.8,25.9,44.6,37.2,49.0,33.3,29.9,33.3,14.3,35.4,40.6
Cập nhật & Phiên bản,16.7,16.7,21.3,10.3,18.7,22.2,15.0,27.0,22.0,17.1,15.3,34.9
Phí & Lãi suất,18.2,14.0,15.8,33.3,38.5,31.6,18.2,20.8,20.7,3.3,45.5,20.5
Thông báo & Quảng cáo,18.8,23.1,33.3,27.3,20.0,27.3,11.1,33.3,18.5,22.5,5.9,47.8
Khác,67.4,70.2,72.0,70.9,69.8,74.4,75.2,68.7,68.3,69.4,72.5,66.7
